iter	MultiLogloss
0	0.6891353386
1	0.6849120923
2	0.6810041748
3	0.6768550157
4	0.6731167114
5	0.6694187592
6	0.6654680453
7	0.6616613042
8	0.6581713497
9	0.6546414612
10	0.6509454282
11	0.6474125915
12	0.6440126175
13	0.640580314
14	0.6372908536
15	0.6339989574
16	0.6306035183
17	0.6271821508
18	0.62379507
19	0.6204641497
20	0.6173786537
21	0.6141643989
22	0.6112175214
23	0.6081573801
24	0.6052825366
25	0.6024045381
26	0.5994889241
27	0.5964858362
28	0.5937618891
29	0.5910731103
30	0.5884525484
31	0.5858366703
32	0.5832988817
33	0.5804952142
34	0.5780026434
35	0.5755032803
36	0.5730050032
37	0.5703983893
38	0.5680419215
39	0.5657436747
40	0.5634559995
41	0.561146876
42	0.5588476049
43	0.5566614417
44	0.5544174761
45	0.5522694446
46	0.5499075569
47	0.5478452477
48	0.5457837354
49	0.5434862138
50	0.5413080676
51	0.5393322274
52	0.5373747637
53	0.5352359818
54	0.5331638067
55	0.5310358404
56	0.5290907526
57	0.5272888064
58	0.5252718456
59	0.5232197251
60	0.521197001
61	0.5192537414
62	0.5175306436
63	0.5156447221
64	0.5139020402
65	0.5120333927
66	0.5104145595
67	0.5086319521
68	0.5068879224
69	0.5053479508
70	0.5037227199
71	0.5019926808
72	0.5004355054
73	0.4987438853
74	0.4972617542
75	0.4956146922
76	0.4941585107
77	0.4925617478
78	0.4910947346
79	0.4895920809
80	0.4881918081
81	0.4866957103
82	0.4852060946
83	0.4838517013
84	0.4825298533
85	0.4811753861
86	0.4796643841
87	0.4783099985
88	0.4768901245
89	0.4754720881
90	0.4740833336
91	0.4727103404
92	0.4712990087
93	0.4701326979
94	0.4688212081
95	0.4675114941
96	0.4662989094
97	0.465117822
98	0.4638224654
99	0.4625293016
100	0.4614184952
101	0.4603615955
102	0.459147162
103	0.4578522201
104	0.4568183304
105	0.4556417184
106	0.4546238647
107	0.4534429649
108	0.4522486368
109	0.4510805368
110	0.449941766
111	0.4489138082
112	0.4477929135
113	0.4468260644
114	0.4456728592
115	0.4445909162
116	0.4435550075
117	0.4424989513
118	0.4414333907
119	0.4404412738
120	0.4394812361
121	0.4385970811
122	0.4376147005
123	0.4366191365
124	0.4357363952
125	0.4347922433
126	0.433942835
127	0.4330297818
128	0.4322333655
129	0.4312865881
130	0.4303327161
131	0.4293989572
132	0.4285591376
133	0.4277227418
134	0.4269455899
135	0.4261991794
136	0.4254587337
137	0.424615077
138	0.4237302514
139	0.4228684622
140	0.4220228133
141	0.4212022416
142	0.4204229625
143	0.4195787416
144	0.4188354296
145	0.4180470468
146	0.417210378
147	0.4164409411
148	0.4156349324
149	0.4148137929
150	0.4140421248
151	0.4132253166
152	0.4126023193
153	0.4120036783
154	0.4112750211
155	0.4105817966
156	0.4099258332
157	0.4091848444
158	0.408568868
159	0.4078695327
160	0.4072293328
161	0.4065172847
162	0.4058835126
163	0.4051712189
164	0.404473684
165	0.4038655746
166	0.4032193737
167	0.4026083806
168	0.4019460916
169	0.4013132992
170	0.4006647082
171	0.4000137991
172	0.3993816742
173	0.3987551505
174	0.3981475902
175	0.3976308501
176	0.3970498186
177	0.396552624
178	0.3959656869
179	0.3954464161
180	0.3948318428
181	0.3943341328
182	0.3938235276
183	0.3933366309
184	0.3927656468
185	0.3922619061
186	0.3916830654
187	0.3911379749
188	0.3905757941
189	0.3900145805
190	0.3894599759
191	0.3889689157
192	0.3884221227
193	0.3878986002
194	0.3873373737
195	0.3868219696
196	0.3862839991
197	0.3858200128
198	0.3853090352
199	0.3847795724
200	0.3842918638
201	0.3838726437
202	0.3834469733
203	0.3829660761
204	0.3824728646
205	0.382043764
206	0.3815549859
207	0.3811420664
208	0.3806260166
209	0.3801690232
210	0.3796741062
211	0.3791635372
212	0.3787445222
213	0.3782460496
214	0.3777886207
215	0.3773913605
216	0.3769472518
217	0.3764395155
218	0.3759369809
219	0.3754859601
220	0.3750624216
221	0.3746126759
222	0.3741135736
223	0.3736811809
224	0.3732235999
225	0.3728355697
226	0.3724465544
227	0.3720488555
228	0.3716718482
229	0.3712762462
230	0.3708370149
231	0.370401491
232	0.369997932
233	0.3695685403
234	0.3691836732
235	0.3687847072
236	0.3683834023
237	0.3679893047
238	0.3675173522
239	0.3671756729
240	0.3667636849
241	0.3662873172
242	0.3658820435
243	0.3654551363
244	0.3650896698
245	0.3647121488
246	0.3642949993
247	0.3639464012
248	0.3635315956
249	0.363132291
250	0.3627313407
251	0.362383673
252	0.3619969516
253	0.3616041094
254	0.3612769885
255	0.3609351122
256	0.360583027
257	0.3602314322
258	0.3598520892
259	0.3595026474
260	0.3591487507
261	0.3588027435
262	0.3584394048
263	0.3580197455
264	0.3576351159
265	0.3572975734
266	0.356960872
267	0.356601676
268	0.3562787568
269	0.3559779745
270	0.3556234931
271	0.355318871
272	0.3550132937
273	0.354647435
274	0.3543246034
275	0.3538875186
276	0.35358416
277	0.3532849281
278	0.3529909235
279	0.3526729245
280	0.3523215376
281	0.3519845236
282	0.3516395517
283	0.3513086204
284	0.3509668181
285	0.3506406618
286	0.3503297167
287	0.3499872442
288	0.3496638536
289	0.3493361483
290	0.3490626105
291	0.3487305446
292	0.3484648319
293	0.3481856944
294	0.3479044109
295	0.3475288869
296	0.3471691429
297	0.3468678983
298	0.3465051119
299	0.3462030726
300	0.3459492918
301	0.3456726488
302	0.345373034
303	0.3451029923
304	0.3448270416
305	0.3445338603
306	0.344235427
307	0.3439507045
308	0.3436574738
309	0.3433985938
310	0.3431079535
311	0.3428209753
312	0.3425846916
313	0.3422669364
314	0.3419927533
315	0.3416882
316	0.3414083714
317	0.3410535715
318	0.3407849576
319	0.3405237895
320	0.3402605601
321	0.3399702206
322	0.3397045256
323	0.3394393486
324	0.3391402468
325	0.3388446498
326	0.3385696744
327	0.3383301858
328	0.3380430868
329	0.3377443504
330	0.3374382482
331	0.337205475
332	0.3369762672
333	0.3367395371
334	0.336441004
335	0.3361635369
336	0.3358928643
