iter	Passed	Remaining
0	146	146622
1	280	139955
2	394	131001
3	429	107021
4	499	99449
5	523	86647
6	573	81383
7	687	85221
8	719	79189
9	748	74085
10	777	69907
11	826	68064
12	869	66024
13	931	65584
14	942	61907
15	1059	65148
16	1100	63635
17	1228	67011
18	1262	65203
19	1294	63413
20	1315	61316
21	1336	59397
22	1363	57910
23	1399	56902
24	1409	54968
25	1427	53485
26	1455	52469
27	1505	52267
28	1558	52181
29	1598	51680
30	1616	50520
31	1648	49866
32	1692	49585
33	1714	48720
34	1759	48502
35	1778	47620
36	1797	46773
37	1854	46953
38	1883	46400
39	1906	45751
40	1934	45256
41	1969	44915
42	1990	44310
43	2026	44030
44	2044	43378
45	2071	42954
46	2093	42440
47	2109	41842
48	2133	41413
49	2153	40911
50	2220	41324
51	2263	41264
52	2314	41362
53	2362	41381
54	2414	41487
55	2449	41287
56	2482	41066
57	2514	40844
58	2528	40324
59	2562	40151
60	2595	39950
61	2619	39632
62	2654	39482
63	2678	39177
64	2713	39030
65	2745	38853
66	2777	38674
67	2811	38533
68	2829	38174
69	2857	37968
70	2883	37726
71	2901	37399
72	2945	37408
73	2967	37132
74	3011	37142
75	3090	37571
76	3101	37182
77	3111	36778
78	3126	36443
79	3155	36290
80	3168	35946
81	3191	35732
82	3213	35505
83	3252	35472
84	3286	35376
85	3308	35162
86	3335	34998
87	3345	34668
88	3361	34407
89	3383	34214
90	3400	33967
91	3415	33707
92	3442	33575
93	3468	33432
94	3490	33254
95	3504	32998
96	3519	32767
97	3538	32565
98	3553	32337
99	3578	32203
100	3598	32029
101	3649	32126
102	3677	32029
103	3702	31896
104	3706	31589
105	3721	31385
106	3755	31342
107	3784	31259
108	3820	31225
109	3851	31164
110	3888	31143
111	3965	31444
112	4035	31675
113	4077	31689
114	4181	32176
115	4255	32428
116	4314	32558
117	4409	32961
118	4433	32824
119	4471	32790
120	4523	32863
121	4581	32970
122	4614	32902
123	4644	32813
124	4659	32616
125	4683	32487
126	4710	32383
127	4729	32219
128	4763	32161
129	4792	32074
130	4827	32024
131	4883	32112
132	4928	32125
133	4994	32277
134	5027	32215
135	5080	32278
136	5149	32437
137	5209	32538
138	5251	32529
139	5289	32494
140	5325	32442
141	5378	32499
142	5443	32620
143	5470	32521
144	5507	32475
145	5555	32495
146	5573	32340
147	5603	32256
148	5617	32085
149	5652	32029
150	5669	31874
151	5697	31784
152	5712	31621
153	5737	31519
154	5805	31650
155	5849	31647
156	5901	31685
157	5928	31593
158	5981	31635
159	6047	31751
160	6113	31860
161	6147	31799
162	6190	31785
163	6238	31799
164	6289	31827
165	6341	31860
166	6368	31767
167	6405	31721
168	6446	31696
169	6519	31830
170	6564	31822
171	6600	31774
172	6656	31820
173	6708	31845
174	6728	31718
175	6766	31681
176	6798	31612
177	6808	31440
178	6821	31286
179	6837	31149
180	6849	30992
181	6863	30847
182	6877	30702
183	6887	30545
184	6914	30463
185	6932	30337
186	6951	30221
187	6972	30116
188	7002	30048
189	7016	29911
190	7036	29804
191	7070	29754
192	7103	29701
193	7119	29579
194	7145	29497
195	7161	29376
196	7169	29222
197	7194	29140
198	7205	29004
199	7228	28913
200	7250	28821
201	7264	28696
202	7278	28577
203	7296	28471
204	7308	28342
205	7320	28216
206	7334	28098
207	7343	27961
208	7355	27838
209	7363	27701
210	7388	27627
211	7397	27494
212	7413	27392
213	7438	27319
214	7454	27216
215	7466	27101
216	7485	27008
217	7493	26879
218	7503	26759
219	7517	26652
220	7530	26545
221	7538	26419
222	7551	26311
223	7559	26188
224	7586	26130
225	7595	26013
226	7606	25903
227	7630	25836
228	7647	25747
229	7657	25635
230	7678	25560
231	7688	25450
232	7699	25345
233	7723	25282
234	7734	25179
235	7751	25092
236	7765	25000
237	7785	24925
238	7797	24828
239	7808	24725
240	7824	24641
241	7834	24539
242	7850	24454
243	7866	24372
244	7879	24282
245	7890	24183
246	7901	24089
247	7916	24005
248	7927	23911
249	7939	23818
250	7949	23722
251	7968	23651
252	7978	23555
253	8000	23498
254	8010	23402
255	8023	23316
256	8085	23375
257	8099	23294
258	8111	23206
259	8119	23109
260	8132	23026
261	8140	22929
262	8161	22871
263	8174	22790
264	8205	22759
265	8223	22692
266	8236	22611
267	8247	22525
268	8265	22460
269	8276	22378
270	8287	22294
271	8306	22232
272	8317	22150
273	8332	22077
274	8355	22028
275	8368	21952
276	8378	21867
277	8393	21798
278	8407	21726
279	8423	21660
280	8449	21620
281	8461	21542
282	8473	21467
283	8490	21406
284	8505	21338
285	8528	21291
286	8557	21259
287	8569	21186
288	8580	21110
289	8604	21065
290	8623	21010
291	8641	20953
292	8672	20926
293	8708	20911
294	8738	20882
295	8767	20853
296	8803	20838
297	8866	20886
298	8896	20857
299	8919	20812
300	8945	20774
301	8976	20747
302	8989	20678
303	9009	20628
304	9064	20656
305	9101	20641
306	9127	20603
307	9155	20569
308	9174	20516
309	9205	20488
310	9236	20463
311	9251	20401
312	9274	20355
313	9305	20329
314	9325	20279
315	9366	20273
316	9406	20265
317	9437	20240
318	9468	20214
319	9489	20164
320	9518	20134
321	9555	20120
322	9585	20091
323	9636	20106
324	9665	20074
325	9702	20060
326	9779	20127
327	9831	20141
